time ,vals ,flag ,type
715843,7,0,1
715849,0.5,0,2
715864,0.6,0,1
715871,1.2,0,2
715875,1.8,0,1
715876,5.5,0,1
715877,0.2,0,1
715897,0.2,0,1
715945,0.2,0,1
715958,3.5,0,1
715959,2.7,0,1
715960,0.5,0,1
715961,0.5,0,1
716182,4,0,2
716215,0.5,0,2
716216,1.5,0,2
716239,3.7,0,1
716243,0.2,0,1
716250,4.7,0,2
716260,4.1,0,1
716261,10.5,0,1
716262,1.4,0,2
716270,1.3,0,2
716273,6.6,0,1
716274,1.1,0,1
716277,0.7,0,2
716280,2.4,0,1
716282,0.4,0,1
716288,0.6,0,1
716291,3,0,1
716298,0.7,0,1
716299,2.2,0,1
716315,0.9,0,1
716319,0.2,0,2
716329,0.2,0,1
716337,5.8,0,1
716338,1.9,0,1
716367,6.8,0,1
716541,3,0,2
716547,0.1,0,2
716555,0.4,0,2
716567,0.1,0,1
716568,0.7,0,2
716579,8.5,0,2
716580,4.9,0,2
716582,0.9,0,1
716587,3.4,0,1
716589,1.4,0,1
716606,2.2,0,1
716607,0.2,0,1
716612,6.6,0,2
716613,0.3,0,2
716614,0.5,0,1
716616,1.4,0,1
716620,0.5,0,2
716626,0.8,0,1
716627,2.2,0,1
716628,0.4,0,1
716631,2,0,2
716634,0.3,0,1
716657,0.9,0,1
716705,0.1,0,2
716713,1.8,0,2
716714,0.8,0,1
716716,0.5,0,1
716736,0.1,0,1
716981,0.2,0,1
716994,4.6,0,1
717012,6.5,0,1
717013,2.1,0,1
717026,0.3,0,2
717028,3,0,1
717029,0.7,0,2
717048,0.6,0,1
717049,1.6,0,2
717068,1.8,0,2
717069,2.4,0,2
717092,1.5,0,1
717098,0.5,0,2
717264,0.9,0,1
717277,0.8,0,1
717295,1.2,0,2
717305,1.2,0,1
717306,0.9,0,1
717307,10,0,1
717308,4,0,1
717314,6.8,0,1
717315,1,0,1
717334,0.5,0,1
717335,1.5,0,1
717336,0.5,0,1
717353,1.6,0,1
717360,0.7,0,1
717361,2,0,1
717367,4.6,0,1
717372,0.4,0,1
717376,0.4,0,1
717379,0.4,0,1
717380,0.3,0,1
717395,3.2,0,1
717396,12,0,1
717410,1.3,0,2
717411,1,0,1
717447,3.6,0,1
717448,9.4,0,1
717658,5.3,0,1
